"","...1","VARIABLES","grade","subject","scores_diff"
"51",17,"COVID-19 year (2019/2020)",3,"math",-0.285
"52",18,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"53",18,"COVID-19 year (2019/2020)",3,"reading",-0.18
"54",18,"COVID-19 year (2019/2020)",3,"math",-0.285
"55",19,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"56",19,"COVID-19 year (2019/2020)",3,"reading",-0.137
"57",19,"COVID-19 year (2019/2020)",3,"math",-0.285
"58",20,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"59",20,"COVID-19 year (2019/2020)",3,"reading",-0.205
"60",20,"COVID-19 year (2019/2020)",3,"math",-0.285
"61",21,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"62",21,"COVID-19 year (2019/2020)",3,"reading",-0.0931
"63",21,"COVID-19 year (2019/2020)",3,"math",-0.313
"64",22,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"65",22,"COVID-19 year (2019/2020)",3,"reading",-0.18
"66",22,"COVID-19 year (2019/2020)",3,"math",-0.313
"67",23,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"68",23,"COVID-19 year (2019/2020)",3,"reading",-0.137
"69",23,"COVID-19 year (2019/2020)",3,"math",-0.313
"70",24,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"71",24,"COVID-19 year (2019/2020)",3,"reading",-0.205
"72",24,"COVID-19 year (2019/2020)",3,"math",-0.313
"73",25,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"74",25,"COVID-19 year (2019/2020)",3,"reading",-0.0931
"75",25,"COVID-19 year (2019/2020)",3,"math",-0.383
"76",26,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"77",26,"COVID-19 year (2019/2020)",3,"reading",-0.18
"78",26,"COVID-19 year (2019/2020)",3,"math",-0.383
"79",27,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"80",27,"COVID-19 year (2019/2020)",3,"reading",-0.137
"81",27,"COVID-19 year (2019/2020)",3,"math",-0.383
"82",28,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"83",28,"COVID-19 year (2019/2020)",3,"reading",-0.205
"84",28,"COVID-19 year (2019/2020)",3,"math",-0.383
"85",29,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"86",29,"COVID-19 year (2019/2020)",3,"reading",-0.0931
"87",29,"COVID-19 year (2019/2020)",3,"math",-0.378
"88",30,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"89",30,"COVID-19 year (2019/2020)",3,"reading",-0.18
"90",30,"COVID-19 year (2019/2020)",3,"math",-0.378
"91",31,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"92",31,"COVID-19 year (2019/2020)",3,"reading",-0.137
"93",31,"COVID-19 year (2019/2020)",3,"math",-0.378
"94",32,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"95",32,"COVID-19 year (2019/2020)",3,"reading",-0.205
"96",32,"COVID-19 year (2019/2020)",3,"math",-0.378
"97",33,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"98",33,"COVID-19 year (2019/2020)",4,"reading",-0.0931
"99",33,"COVID-19 year (2019/2020)",4,"math",-0.285
"100",34,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"101",34,"COVID-19 year (2019/2020)",4,"reading",-0.18
"102",34,"COVID-19 year (2019/2020)",4,"math",-0.285
"103",35,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"104",35,"COVID-19 year (2019/2020)",4,"reading",-0.137
"105",35,"COVID-19 year (2019/2020)",4,"math",-0.285
"106",36,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"107",36,"COVID-19 year (2019/2020)",4,"reading",-0.205
"108",36,"COVID-19 year (2019/2020)",4,"math",-0.285
"109",37,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"110",37,"COVID-19 year (2019/2020)",4,"reading",-0.0931
"111",37,"COVID-19 year (2019/2020)",4,"math",-0.313
"112",38,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"113",38,"COVID-19 year (2019/2020)",4,"reading",-0.18
"114",38,"COVID-19 year (2019/2020)",4,"math",-0.313
"115",39,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"116",39,"COVID-19 year (2019/2020)",4,"reading",-0.137
"117",39,"COVID-19 year (2019/2020)",4,"math",-0.313
"118",40,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"119",40,"COVID-19 year (2019/2020)",4,"reading",-0.205
"120",40,"COVID-19 year (2019/2020)",4,"math",-0.313
"121",41,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"122",41,"COVID-19 year (2019/2020)",4,"reading",-0.0931
"123",41,"COVID-19 year (2019/2020)",4,"math",-0.383
"124",42,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"125",42,"COVID-19 year (2019/2020)",4,"reading",-0.18
"126",42,"COVID-19 year (2019/2020)",4,"math",-0.383
"127",43,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"128",43,"COVID-19 year (2019/2020)",4,"reading",-0.137
"129",43,"COVID-19 year (2019/2020)",4,"math",-0.383
"130",44,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"131",44,"COVID-19 year (2019/2020)",4,"reading",-0.205
"132",44,"COVID-19 year (2019/2020)",4,"math",-0.383
"133",45,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"134",45,"COVID-19 year (2019/2020)",4,"reading",-0.0931
"135",45,"COVID-19 year (2019/2020)",4,"math",-0.378
"136",46,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"137",46,"COVID-19 year (2019/2020)",4,"reading",-0.18
"138",46,"COVID-19 year (2019/2020)",4,"math",-0.378
"139",47,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"140",47,"COVID-19 year (2019/2020)",4,"reading",-0.137
"141",47,"COVID-19 year (2019/2020)",4,"math",-0.378
"142",48,"COVID-19 year (2019/2020)",4,"spelling",-0.146
"143",48,"COVID-19 year (2019/2020)",4,"reading",-0.205
"144",48,"COVID-19 year (2019/2020)",4,"math",-0.378
"145",49,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"146",49,"COVID-19 year (2019/2020)",5,"reading",-0.0931
"147",49,"COVID-19 year (2019/2020)",5,"math",-0.285
"148",50,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"149",50,"COVID-19 year (2019/2020)",5,"reading",-0.18
"150",50,"COVID-19 year (2019/2020)",5,"math",-0.285
"151",51,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"152",51,"COVID-19 year (2019/2020)",5,"reading",-0.137
"153",51,"COVID-19 year (2019/2020)",5,"math",-0.285
"154",52,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"155",52,"COVID-19 year (2019/2020)",5,"reading",-0.205
"156",52,"COVID-19 year (2019/2020)",5,"math",-0.285
"157",53,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"158",53,"COVID-19 year (2019/2020)",5,"reading",-0.0931
"159",53,"COVID-19 year (2019/2020)",5,"math",-0.313
"160",54,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"161",54,"COVID-19 year (2019/2020)",5,"reading",-0.18
"162",54,"COVID-19 year (2019/2020)",5,"math",-0.313
"163",55,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"164",55,"COVID-19 year (2019/2020)",5,"reading",-0.137
"165",55,"COVID-19 year (2019/2020)",5,"math",-0.313
"166",56,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"167",56,"COVID-19 year (2019/2020)",5,"reading",-0.205
"168",56,"COVID-19 year (2019/2020)",5,"math",-0.313
"169",57,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"170",57,"COVID-19 year (2019/2020)",5,"reading",-0.0931
"171",57,"COVID-19 year (2019/2020)",5,"math",-0.383
"172",58,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"173",58,"COVID-19 year (2019/2020)",5,"reading",-0.18
"174",58,"COVID-19 year (2019/2020)",5,"math",-0.383
"175",59,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"176",59,"COVID-19 year (2019/2020)",5,"reading",-0.137
"177",59,"COVID-19 year (2019/2020)",5,"math",-0.383
"178",60,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"179",60,"COVID-19 year (2019/2020)",5,"reading",-0.205
"180",60,"COVID-19 year (2019/2020)",5,"math",-0.383
"181",61,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"182",61,"COVID-19 year (2019/2020)",5,"reading",-0.0931
"183",61,"COVID-19 year (2019/2020)",5,"math",-0.378
"184",62,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"185",62,"COVID-19 year (2019/2020)",5,"reading",-0.18
"186",62,"COVID-19 year (2019/2020)",5,"math",-0.378
"187",63,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"188",63,"COVID-19 year (2019/2020)",5,"reading",-0.137
"189",63,"COVID-19 year (2019/2020)",5,"math",-0.378
"190",64,"COVID-19 year (2019/2020)",5,"spelling",-0.181
"191",64,"COVID-19 year (2019/2020)",5,"reading",-0.205
"192",64,"COVID-19 year (2019/2020)",5,"math",-0.378
"193",65,"Medium",2,"spelling",-0.0156
"194",65,"Medium",2,"reading",-0.0233
"195",65,"Medium",2,"math",-0.0247
"196",66,"Medium",2,"spelling",-0.0156
"197",66,"Medium",2,"reading",-0.0105
"198",66,"Medium",2,"math",-0.0247
"199",67,"Medium",2,"spelling",-0.0156
"200",67,"Medium",2,"reading",-0.00709
"201",67,"Medium",2,"math",-0.0247
"202",68,"Medium",2,"spelling",-0.0156
"203",68,"Medium",2,"reading",0.0186
"204",68,"Medium",2,"math",-0.0247
"205",69,"Medium",2,"spelling",-0.0156
"206",69,"Medium",2,"reading",-0.0233
"207",69,"Medium",2,"math",-0.00393
"208",70,"Medium",2,"spelling",-0.0156
"209",70,"Medium",2,"reading",-0.0105
"210",70,"Medium",2,"math",-0.00393
"211",71,"Medium",2,"spelling",-0.0156
"212",71,"Medium",2,"reading",-0.00709
"213",71,"Medium",2,"math",-0.00393
"214",72,"Medium",2,"spelling",-0.0156
"215",72,"Medium",2,"reading",0.0186
"216",72,"Medium",2,"math",-0.00393
"217",73,"Medium",2,"spelling",-0.0156
"218",73,"Medium",2,"reading",-0.0233
"219",73,"Medium",2,"math",-0.0162
"220",74,"Medium",2,"spelling",-0.0156
"221",74,"Medium",2,"reading",-0.0105
"222",74,"Medium",2,"math",-0.0162
"223",75,"Medium",2,"spelling",-0.0156
"224",75,"Medium",2,"reading",-0.00709
"225",75,"Medium",2,"math",-0.0162
"226",76,"Medium",2,"spelling",-0.0156
"227",76,"Medium",2,"reading",0.0186
"228",76,"Medium",2,"math",-0.0162
"229",77,"Medium",2,"spelling",-0.0156
"230",77,"Medium",2,"reading",-0.0233
"231",77,"Medium",2,"math",-0.0144
"232",78,"Medium",2,"spelling",-0.0156
"233",78,"Medium",2,"reading",-0.0105
"234",78,"Medium",2,"math",-0.0144
"235",79,"Medium",2,"spelling",-0.0156
"236",79,"Medium",2,"reading",-0.00709
"237",79,"Medium",2,"math",-0.0144
"238",80,"Medium",2,"spelling",-0.0156
"239",80,"Medium",2,"reading",0.0186
"240",80,"Medium",2,"math",-0.0144
"241",81,"Medium",3,"spelling",-0.0212
"242",81,"Medium",3,"reading",-0.0233
"243",81,"Medium",3,"math",-0.0247
"244",82,"Medium",3,"spelling",-0.0212
"245",82,"Medium",3,"reading",-0.0105
"246",82,"Medium",3,"math",-0.0247
"247",83,"Medium",3,"spelling",-0.0212
"248",83,"Medium",3,"reading",-0.00709
"249",83,"Medium",3,"math",-0.0247
"250",84,"Medium",3,"spelling",-0.0212
"251",84,"Medium",3,"reading",0.0186
"252",84,"Medium",3,"math",-0.0247
"253",85,"Medium",3,"spelling",-0.0212
"254",85,"Medium",3,"reading",-0.0233
"255",85,"Medium",3,"math",-0.00393
"256",86,"Medium",3,"spelling",-0.0212
"257",86,"Medium",3,"reading",-0.0105
"258",86,"Medium",3,"math",-0.00393
"259",87,"Medium",3,"spelling",-0.0212
"260",87,"Medium",3,"reading",-0.00709
"261",87,"Medium",3,"math",-0.00393
"262",88,"Medium",3,"spelling",-0.0212
"263",88,"Medium",3,"reading",0.0186
"264",88,"Medium",3,"math",-0.00393
"265",89,"Medium",3,"spelling",-0.0212
"266",89,"Medium",3,"reading",-0.0233
"267",89,"Medium",3,"math",-0.0162
"268",90,"Medium",3,"spelling",-0.0212
"269",90,"Medium",3,"reading",-0.0105
"270",90,"Medium",3,"math",-0.0162
"271",91,"Medium",3,"spelling",-0.0212
"272",91,"Medium",3,"reading",-0.00709
"273",91,"Medium",3,"math",-0.0162
"274",92,"Medium",3,"spelling",-0.0212
"275",92,"Medium",3,"reading",0.0186
"276",92,"Medium",3,"math",-0.0162
"277",93,"Medium",3,"spelling",-0.0212
"278",93,"Medium",3,"reading",-0.0233
"279",93,"Medium",3,"math",-0.0144
"280",94,"Medium",3,"spelling",-0.0212
"281",94,"Medium",3,"reading",-0.0105
"282",94,"Medium",3,"math",-0.0144
"283",95,"Medium",3,"spelling",-0.0212
"284",95,"Medium",3,"reading",-0.00709
"285",95,"Medium",3,"math",-0.0144
"286",96,"Medium",3,"spelling",-0.0212
"287",96,"Medium",3,"reading",0.0186
"288",96,"Medium",3,"math",-0.0144
"289",97,"Medium",4,"spelling",-0.0161
"290",97,"Medium",4,"reading",-0.0233
"291",97,"Medium",4,"math",-0.0247
"292",98,"Medium",4,"spelling",-0.0161
"293",98,"Medium",4,"reading",-0.0105
"294",98,"Medium",4,"math",-0.0247
"295",99,"Medium",4,"spelling",-0.0161
"296",99,"Medium",4,"reading",-0.00709
"297",99,"Medium",4,"math",-0.0247
"298",100,"Medium",4,"spelling",-0.0161
"299",100,"Medium",4,"reading",0.0186
"300",100,"Medium",4,"math",-0.0247
"301",101,"Medium",4,"spelling",-0.0161
"302",101,"Medium",4,"reading",-0.0233
"303",101,"Medium",4,"math",-0.00393
"304",102,"Medium",4,"spelling",-0.0161
"305",102,"Medium",4,"reading",-0.0105
"306",102,"Medium",4,"math",-0.00393
"307",103,"Medium",4,"spelling",-0.0161
"308",103,"Medium",4,"reading",-0.00709
"309",103,"Medium",4,"math",-0.00393
"310",104,"Medium",4,"spelling",-0.0161
"311",104,"Medium",4,"reading",0.0186
"312",104,"Medium",4,"math",-0.00393
"313",105,"Medium",4,"spelling",-0.0161
"314",105,"Medium",4,"reading",-0.0233
"315",105,"Medium",4,"math",-0.0162
"316",106,"Medium",4,"spelling",-0.0161
"317",106,"Medium",4,"reading",-0.0105
"318",106,"Medium",4,"math",-0.0162
"319",107,"Medium",4,"spelling",-0.0161
"320",107,"Medium",4,"reading",-0.00709
"321",107,"Medium",4,"math",-0.0162
"322",108,"Medium",4,"spelling",-0.0161
"323",108,"Medium",4,"reading",0.0186
"324",108,"Medium",4,"math",-0.0162
"325",109,"Medium",4,"spelling",-0.0161
"326",109,"Medium",4,"reading",-0.0233
"327",109,"Medium",4,"math",-0.0144
"328",110,"Medium",4,"spelling",-0.0161
"329",110,"Medium",4,"reading",-0.0105
"330",110,"Medium",4,"math",-0.0144
"331",111,"Medium",4,"spelling",-0.0161
"332",111,"Medium",4,"reading",-0.00709
"333",111,"Medium",4,"math",-0.0144
"334",112,"Medium",4,"spelling",-0.0161
"335",112,"Medium",4,"reading",0.0186
"336",112,"Medium",4,"math",-0.0144
"337",113,"Medium",5,"spelling",0.0046
"338",113,"Medium",5,"reading",-0.0233
"339",113,"Medium",5,"math",-0.0247
"340",114,"Medium",5,"spelling",0.0046
"341",114,"Medium",5,"reading",-0.0105
"342",114,"Medium",5,"math",-0.0247
"343",115,"Medium",5,"spelling",0.0046
"344",115,"Medium",5,"reading",-0.00709
"345",115,"Medium",5,"math",-0.0247
"346",116,"Medium",5,"spelling",0.0046
"347",116,"Medium",5,"reading",0.0186
"348",116,"Medium",5,"math",-0.0247
"349",117,"Medium",5,"spelling",0.0046
"350",117,"Medium",5,"reading",-0.0233
"351",117,"Medium",5,"math",-0.00393
"352",118,"Medium",5,"spelling",0.0046
"353",118,"Medium",5,"reading",-0.0105
"354",118,"Medium",5,"math",-0.00393
"355",119,"Medium",5,"spelling",0.0046
"356",119,"Medium",5,"reading",-0.00709
"357",119,"Medium",5,"math",-0.00393
"358",120,"Medium",5,"spelling",0.0046
"359",120,"Medium",5,"reading",0.0186
"360",120,"Medium",5,"math",-0.00393
"361",121,"Medium",5,"spelling",0.0046
"362",121,"Medium",5,"reading",-0.0233
"363",121,"Medium",5,"math",-0.0162
"364",122,"Medium",5,"spelling",0.0046
"365",122,"Medium",5,"reading",-0.0105
"366",122,"Medium",5,"math",-0.0162
"367",123,"Medium",5,"spelling",0.0046
"368",123,"Medium",5,"reading",-0.00709
"369",123,"Medium",5,"math",-0.0162
"370",124,"Medium",5,"spelling",0.0046
"371",124,"Medium",5,"reading",0.0186
"372",124,"Medium",5,"math",-0.0162
"373",125,"Medium",5,"spelling",0.0046
"374",125,"Medium",5,"reading",-0.0233
"375",125,"Medium",5,"math",-0.0144
"376",126,"Medium",5,"spelling",0.0046
"377",126,"Medium",5,"reading",-0.0105
"378",126,"Medium",5,"math",-0.0144
"379",127,"Medium",5,"spelling",0.0046
"380",127,"Medium",5,"reading",-0.00709
"381",127,"Medium",5,"math",-0.0144
"382",128,"Medium",5,"spelling",0.0046
"383",128,"Medium",5,"reading",0.0186
"384",128,"Medium",5,"math",-0.0144
"385",129,"High",2,"spelling",0.0176
"386",129,"High",2,"reading",0.0181
"387",129,"High",2,"math",-0.0427
"388",130,"High",2,"spelling",0.0176
"389",130,"High",2,"reading",0.0326
"390",130,"High",2,"math",-0.0427
"391",131,"High",2,"spelling",0.0176
"392",131,"High",2,"reading",0.0291
"393",131,"High",2,"math",-0.0427
"394",132,"High",2,"spelling",0.0176
"395",132,"High",2,"reading",0.0327
"396",132,"High",2,"math",-0.0427
"397",133,"High",2,"spelling",0.0176
"398",133,"High",2,"reading",0.0181
"399",133,"High",2,"math",0.00333
"400",134,"High",2,"spelling",0.0176
"401",134,"High",2,"reading",0.0326
"402",134,"High",2,"math",0.00333
"403",135,"High",2,"spelling",0.0176
"404",135,"High",2,"reading",0.0291
"405",135,"High",2,"math",0.00333
"406",136,"High",2,"spelling",0.0176
"407",136,"High",2,"reading",0.0327
"408",136,"High",2,"math",0.00333
"409",137,"High",2,"spelling",0.0176
"410",137,"High",2,"reading",0.0181
"411",137,"High",2,"math",0.012
"412",138,"High",2,"spelling",0.0176
"413",138,"High",2,"reading",0.0326
"414",138,"High",2,"math",0.012
"415",139,"High",2,"spelling",0.0176
"416",139,"High",2,"reading",0.0291
"417",139,"High",2,"math",0.012
"418",140,"High",2,"spelling",0.0176
"419",140,"High",2,"reading",0.0327
"420",140,"High",2,"math",0.012
"421",141,"High",2,"spelling",0.0176
"422",141,"High",2,"reading",0.0181
"423",141,"High",2,"math",-0.00313
"424",142,"High",2,"spelling",0.0176
"425",142,"High",2,"reading",0.0326
"426",142,"High",2,"math",-0.00313
"427",143,"High",2,"spelling",0.0176
"428",143,"High",2,"reading",0.0291
"429",143,"High",2,"math",-0.00313
"430",144,"High",2,"spelling",0.0176
"431",144,"High",2,"reading",0.0327
"432",144,"High",2,"math",-0.00313
"433",145,"High",3,"spelling",-0.0323
"434",145,"High",3,"reading",0.0181
"435",145,"High",3,"math",-0.0427
"436",146,"High",3,"spelling",-0.0323
"437",146,"High",3,"reading",0.0326
"438",146,"High",3,"math",-0.0427
"439",147,"High",3,"spelling",-0.0323
"440",147,"High",3,"reading",0.0291
"441",147,"High",3,"math",-0.0427
"442",148,"High",3,"spelling",-0.0323
"443",148,"High",3,"reading",0.0327
"444",148,"High",3,"math",-0.0427
"445",149,"High",3,"spelling",-0.0323
"446",149,"High",3,"reading",0.0181
"447",149,"High",3,"math",0.00333
"448",150,"High",3,"spelling",-0.0323
"449",150,"High",3,"reading",0.0326
"450",150,"High",3,"math",0.00333
"451",151,"High",3,"spelling",-0.0323
"452",151,"High",3,"reading",0.0291
"453",151,"High",3,"math",0.00333
"454",152,"High",3,"spelling",-0.0323
"455",152,"High",3,"reading",0.0327
"456",152,"High",3,"math",0.00333
"457",153,"High",3,"spelling",-0.0323
"458",153,"High",3,"reading",0.0181
"459",153,"High",3,"math",0.012
"460",154,"High",3,"spelling",-0.0323
"461",154,"High",3,"reading",0.0326
"462",154,"High",3,"math",0.012
"463",155,"High",3,"spelling",-0.0323
"464",155,"High",3,"reading",0.0291
"465",155,"High",3,"math",0.012
"466",156,"High",3,"spelling",-0.0323
"467",156,"High",3,"reading",0.0327
"468",156,"High",3,"math",0.012
"469",157,"High",3,"spelling",-0.0323
"470",157,"High",3,"reading",0.0181
"471",157,"High",3,"math",-0.00313
"472",158,"High",3,"spelling",-0.0323
"473",158,"High",3,"reading",0.0326
"474",158,"High",3,"math",-0.00313
"475",159,"High",3,"spelling",-0.0323
"476",159,"High",3,"reading",0.0291
"477",159,"High",3,"math",-0.00313
"478",160,"High",3,"spelling",-0.0323
"479",160,"High",3,"reading",0.0327
"480",160,"High",3,"math",-0.00313
"481",161,"High",4,"spelling",-0.0214
"482",161,"High",4,"reading",0.0181
"483",161,"High",4,"math",-0.0427
"484",162,"High",4,"spelling",-0.0214
"485",162,"High",4,"reading",0.0326
"486",162,"High",4,"math",-0.0427
"487",163,"High",4,"spelling",-0.0214
"488",163,"High",4,"reading",0.0291
"489",163,"High",4,"math",-0.0427
"490",164,"High",4,"spelling",-0.0214
"491",164,"High",4,"reading",0.0327
"492",164,"High",4,"math",-0.0427
"493",165,"High",4,"spelling",-0.0214
"494",165,"High",4,"reading",0.0181
"495",165,"High",4,"math",0.00333
"496",166,"High",4,"spelling",-0.0214
"497",166,"High",4,"reading",0.0326
"498",166,"High",4,"math",0.00333
"499",167,"High",4,"spelling",-0.0214
"500",167,"High",4,"reading",0.0291
"501",167,"High",4,"math",0.00333
"502",168,"High",4,"spelling",-0.0214
"503",168,"High",4,"reading",0.0327
"504",168,"High",4,"math",0.00333
"505",169,"High",4,"spelling",-0.0214
"506",169,"High",4,"reading",0.0181
"507",169,"High",4,"math",0.012
"508",170,"High",4,"spelling",-0.0214
"509",170,"High",4,"reading",0.0326
"510",170,"High",4,"math",0.012
"511",171,"High",4,"spelling",-0.0214
"512",171,"High",4,"reading",0.0291
"513",171,"High",4,"math",0.012
"514",172,"High",4,"spelling",-0.0214
"515",172,"High",4,"reading",0.0327
"516",172,"High",4,"math",0.012
"517",173,"High",4,"spelling",-0.0214
"518",173,"High",4,"reading",0.0181
"519",173,"High",4,"math",-0.00313
"520",174,"High",4,"spelling",-0.0214
"521",174,"High",4,"reading",0.0326
"522",174,"High",4,"math",-0.00313
"523",175,"High",4,"spelling",-0.0214
"524",175,"High",4,"reading",0.0291
"525",175,"High",4,"math",-0.00313
"526",176,"High",4,"spelling",-0.0214
"527",176,"High",4,"reading",0.0327
"528",176,"High",4,"math",-0.00313
"529",177,"High",5,"spelling",0.0145
"530",177,"High",5,"reading",0.0181
"531",177,"High",5,"math",-0.0427
"532",178,"High",5,"spelling",0.0145
"533",178,"High",5,"reading",0.0326
"534",178,"High",5,"math",-0.0427
"535",179,"High",5,"spelling",0.0145
"536",179,"High",5,"reading",0.0291
"537",179,"High",5,"math",-0.0427
"538",180,"High",5,"spelling",0.0145
"539",180,"High",5,"reading",0.0327
"540",180,"High",5,"math",-0.0427
"541",181,"High",5,"spelling",0.0145
"542",181,"High",5,"reading",0.0181
"543",181,"High",5,"math",0.00333
"544",182,"High",5,"spelling",0.0145
"545",182,"High",5,"reading",0.0326
"546",182,"High",5,"math",0.00333
"547",183,"High",5,"spelling",0.0145
"548",183,"High",5,"reading",0.0291
"549",183,"High",5,"math",0.00333
"550",184,"High",5,"spelling",0.0145
"551",184,"High",5,"reading",0.0327
"552",184,"High",5,"math",0.00333
"553",185,"High",5,"spelling",0.0145
"554",185,"High",5,"reading",0.0181
"555",185,"High",5,"math",0.012
"556",186,"High",5,"spelling",0.0145
"557",186,"High",5,"reading",0.0326
"558",186,"High",5,"math",0.012
"559",187,"High",5,"spelling",0.0145
"560",187,"High",5,"reading",0.0291
"561",187,"High",5,"math",0.012
"562",188,"High",5,"spelling",0.0145
"563",188,"High",5,"reading",0.0327
"564",188,"High",5,"math",0.012
"565",189,"High",5,"spelling",0.0145
"566",189,"High",5,"reading",0.0181
"567",189,"High",5,"math",-0.00313
"568",190,"High",5,"spelling",0.0145
"569",190,"High",5,"reading",0.0326
"570",190,"High",5,"math",-0.00313
